X,Y
0,0.7310585786300049
-9,4.1399375473943306e-08
-14,1.8795288165355508e-12
-10,5.602796406145941e-09
-6,1.670142184809518e-05
12,0.999999999986112
19,1.0
-18,6.305116760146985e-16
7,0.999999694097773
-4,0.0009110511944006454
17,0.9999999999999993
-1,0.2689414213699951
1,0.9525741268224334
8,0.9999999586006244
-13,1.3887943864771144e-11
-20,1.1548224173015786e-17
-12,1.0261879630648827e-10
-8,3.059022269256247e-07
-15,2.543665647376276e-13
14,0.9999999999997455
4,0.9998766054240137
-2,0.04742587317756678
11,0.9999999998973812
-16,3.442477108469858e-14
-3,0.0066928509242848554
10,0.9999999992417439
3,0.9990889488055994
-11,7.582560422162385e-10
9,0.9999999943972036
15,0.9999999999999656
-7,2.2603242979035746e-06
5,0.999983298578152
-19,8.533047625744066e-17
2,0.9933071490757153
18,1.0
13,0.9999999999981204
16,0.9999999999999953
-17,4.658886145103376e-15
-5,0.00012339457598623172
6,0.999997739675702
